$>n	a matter
$>nhm	affair of theirs
$A'	wills
$AEr	A poet
$Ahd	a witness
$Aklth	his manner
$Akr	(is) All-Appreciative
$AkrA	Thankful
$An}k	your enemy
$AqwA	opposed
$EA}r	symbols
$Eb	columns
$EwbA	nations
$Eyb	Shuaib
$EybA	Shuaib
$E}r	rites
$H	(from) stinginess
$HwmhmA	their fat
$TTA	an enormity
$T_h	its shoot
$Tr	direction
$Trh	(in) its direction
$T}	side
$Y'	any
$bh	it was made to appear (so)
$dAd	severe
$dAdA	strong
$dyd	great
$dydA	severe
$fA	edge
$fA'	(is) a healing
$fE&A	any intercessors
$fE&nA	(are) our intercessors
$fEA'	intercessors
$fEA'km	your intercessors
$fEp	intercession
$fEthm	their intercession
$fEyn	intercessors
$fyE	intercessor
$gfhA	he has impassioned her
$gl	will be occupied
$gltnA	Kept us busy
$hAb	a burning flame
$hAbA	a flaming fire
$hd	witnesses
$hdA	(as) a witness
$hdA'	martyrs
$hdA'km	your witnesses
$hdnA	we testify
$hdp	testimony
$hdt	testimonies
$hdthm	their testimony
$hdthmA	testimony of the other two
$hdtm	you testify
$hdwA	they testify
$hdwn	(were) witnesses
$hdyn	witness
$hr	Month
$hrA	months
$hryn	(for) two months
$hwd	witnesses
$hwdA	present
$hwp	lustfully
$hyd	witness
$hydA	present
$hydyn	two witnesses
$hyqA	an inhaling
$jr	arises
$jrhA	their trees
$jrp	a tree
$jrt	tree
$jrthA	its tree
$k	doubt
$klh	its type
$kr	(is) grateful
$krA	(in) gratitude
$krtm	you are grateful
$krwn	(be) grateful
$kryn	grateful
$kwr	grateful
$kwrA	thanks
$mA}lhm	their left
$msA	sun
$mxt	lofty
$n_An	hatred
$qA	splitting
$qAq	schism
$qAqY	my dissension
$qY	(will be the) wretched
$qqnA	We cleaved
$qwA	were wretched
$qwtnA	our wretchedness
$qyA	unblessed
$r	worst
$rA	bad
$rAb	a drink
$rAbA	a drink
$rAbh	its drink
$rE	He has ordained
$rEA	visibly
$rEp	a law
$rEwA	who have ordained
$rH	opens
$rb	drink
$rh	its evil
$rk	partnership
$rk&A	(are) partners
$rkA&hm	their partners
$rkA&km	your partners
$rkA&nA	(are) our partners
$rkA'	partners
$rkA'Y	My partners
$rkA'hm	their partners
$rkA'km	your partners
$rkA}hm	their partners
$rkA}km	your partners
$rqyA	eastern
$rqyp	(of the) east
$rwA	they sold
$ryEp	an ordained way
$ryk	partners
$tY	diverse
$wAZ	a flame
$wrY	(are conducted by) consultation
$xSp	(are) staring
$yE	the sects
$yEA	sects
$yEp	sect
$yEth	his kind
$yTn	devil
$yTnA	a devil
$yTyn	devils
$yTynhm	their evil ones
$y_A	a thing
$ybA	gray-haired
$yp	blemish
$ywxA	old
$yx	(is) a very old man
$yxA	old
$}nA	We will
$}t	you will
$}tm	you wish
$}tmA	you both wish
'>$fqtm	Are you afraid
'>$kr	whether I am grateful
'>ld	Shall I bear a child
'>lhtnA	Are our gods
'>mntm	Do you feel secure
'>n*rthm	whether you warn them
'>qrrtm	Do you affirm
'>rbAb	Are lords
'>sjd	Shall I prostrate
'>slmtm	Have you submitted yourselves
'>tx*	Should I take
'A%EjmY	(Is it) a foreign (language)
'A*An	ears
'A*Anhm	their ears
'A*AnnA	our ears
'A*n	I give permission
'A*nk	We announce (to) You
'A*ntkm	I (have) announced to you
'A*wA	abused
'A*ytmwnA	harm you may cause us
'AbA&hm	their forefathers
'AbA&km	Your parents
'AbA&nA	our forefathers
'AbA'	fathers
'AbA'Y	(of) my forefathers
'AbA'hm	their fathers
'AbA'km	your fathers
'AbA'nA	our forefathers
'AbA}hm	their fathers
'AbA}hn	their fathers
'AbA}k	(of) your forefathers
'AbA}km	(of) your fathers
'AbA}nA	our forefathers
'Adm	Adam
'Al	O family
'Al*kryn	(Are) the two males
'AlA'	the Favors
'Alf	thousand[s]
'Alhp	gods
'AlhtY	my gods
'Alhthm	their gods
'Alhtkm	your gods
'AlhtnA	our gods
'Allh	Is Allah
'Amn	believe
'AmnA	safe
'Amnkm	I entrust you
'Amnp	secure
'Amnt	believed
'Amntm	believe
'AmnwA	Believe
'Amnwn	secure
'Amnyn	safe
'Amrh	I order him
'Amyn	(those) coming
'An	heated
'AnA'	hours
'AnA}	hours
'AnfA	just now
'Ans	he saw
'Anst	perceive
'Anstm	you perceive
'Anyp	boiling
'AsY	I grieve
'AsfwnA	they angered Us
'Asn	polluted
'AtY	(will) come
'AtYh	gave him
'AtYhA	He has given it
'AtYhm	gave them
'AtYhmA	He gives them
'AtYk	Allah has given you
'AtYkm	gives you
'AtYn	Allah has given me
'AtYnA	He gives us
'AtYnY	He gave me
'Athm	Give them
'AtnA	Grant us
'Att	brought forth
'AtwA	they give
'Atwh	they had given him
'AtwnY	Bring me
'Atyh	(will) come (to) Him
'Atyhm	(will) come (for) them
'Atyk	will bring it to you
'Atykm	bring you
'AtynA	We gave
'Atynh	We gave him
'AtynhA	We gave it
'Atynhm	We gave them
'Atynk	We have given you
'Atynkm	We gave you
'Atyp	will come
'Atyt	have given
'Atythn	you have given them
'Atytk	I have given you
'Atytkm	I (have) given you
'Atytm	you give
'Atytmwhn	you have given them
'AtytnA	You give us
'AtytnY	you have given me
'AvArhmA	their footprints
'Avm	(is) sinful
'AvmA	any sinner
'Avr	effects
'Avrhm	their footsteps
'Avrk	Allah has preferred you
'AwY	he took
'AwwA	gave shelter
'Ax*	has grasp
'Ax*yn	Taking
'Axr	other
'AxrAn	two others
'Axrh	(at) its end
'Axrwn	other
'Axryn	other
'AyAtnA	Our Verses
'Ayp	sign
'Ayt	signs
'AytY	My Signs
'Ayth	His Signs
'AythA	its Signs
'Aytk	your sign
'AytnA	Our Signs
'Aytyn	(as) two signs
'Azr	Azar
*Ahb	going
*AqA	they both tasted
*AqwA	they tasted
*A}qp	(will) taste
*bAbA	a fly
*bH	is sacrificed
*hAb	taking it away
*hb	gold
*hbA	(of) gold
*hbnA	[we] went
*hbt	have gone
*hbwA	they took him
*kr	male
*krA	a mention
*krAnA	males
*krY	a reminder
*krYhA	(to) mention it
*krYhm	their reminder
*krh	may remember it
*krhm	their reminder
*krk	your reputation
*krkm	(is) your mention
*krnA	Our Reminder
*krt	you mention
*krtm	you are admonished
*krwA	they remember
*kytm	you slaughtered
*llA	made smooth
*lp	humiliation
*lwl	trained
*lwlA	subservient
*mp	covenant of protection
*nb	sin
*nbh	his sin
*nbk	your sins
*nwb	portion
*nwbA	(is) a portion
*nwbhm	their sins
*nwbkm	your sins
*nwbnA	our sins
*q	Taste
*r>	He produced
*r>km	multiplied you
*r>nA	We have created
*rAEA	cubits
*rAEyh	his two forelegs
*rEA	(and) uneasy
*rEhA	its length
*rhm	leave them
*rnA	Leave us
*rnY	Leave Me
*rp	(of) an atom
*rwA	dispersing
*rwnA	Allow us
*rwnY	Leave me
*ryp	children
*rytY	my offspring
*ryth	his offspring
*rythm	their offspring
*rythmA	their offspring
*rytnA	our offspring
*wqwA	Taste
<*nh	His permission
<ESAr	whirlwind
<ErADA	desertion
<ErADhm	their aversion
<HdY	one
<HdYhmA	one of them
<HdYhn	one of them
<HsAnA	(be) good
<HsnA	good
<SlAH	Setting right (their affairs)
<SlH	conciliation
<SlHA	reconciliation
<SlHhA	its reformation
<SrA	a burden
<SrY	My Covenant
<Srhm	their burden
<TEAm	(is) feeding
<TEm	feeding
<blys	Iblis
<brhm	Ibrahim
<brhym	Ibrahim
<dA	atrocious
<drys	Idris
<fk	a lie
<fkA	falsehood
<fkhm	their falsehood
<jrAmY	(is) my crime
<krAh	compulsion
<krhhn	their compulsion
<lA	(of) kinship
<lHAfA	with importunity
<lfhm	Their familiarity
<lh	god
<lhA	God
<lhh	(as) his god
<lhk	your God
<lhkm	Your god
<lhyn	[two] gods
<lyAs	Elijah
<mAm	a Register
<mAmA	a leader
<mlq	poverty
<mrA	grave
<n$A'	(into) a creation
<nYh	its preparation
<ns	any man
<nsn	man
<nsyA	(to any) human being
<nvA	females
<qAmtkm	(of) your encampment
<rm	Iram
<sHq	Isaac
<slmhm	their (pretense of) Islam
<slmkm	your Islam
<smEyl	Ishmael
<sr'yl	Israel
<srAfA	extravagantly
<srArA	secretly
<srArhm	their secrets
<vm	sin
<vmA	sin
<vmh	its sin
<xrAj	driving (them) out
<xrAjA	(a new) bringing forth
<xrAjhm	their eviction
<xrAjkm	your expulsion
<xwn	brothers
<xwnA	brothers
<xwnhm	their brothers
<xwnhn	their brothers
<xwnkm	(of) your brothers
<xwp	brothers
<xwtY	my brothers
<xwtk	your brothers
<yAbhm	(will be) their return
<ymnA	(in) faith
<ymnh	his faith
<ymnhA	its faith
<ymnhm	their faith
<ymnkm	your faith
>$A'	I will
>$Hp	Miserly
>$d	stronger
>$dA'	(are) firm
>$dh	his maturity
>$dhmA	their maturity
>$dkm	your maturity
>$hd	(do) I testify
>$hdthm	I made them witness
>$hdwA	Did they witness
>$hr	months
>$kr	I may thank You
>$kwA	I complain
>$q	(is) harder
>$qYhA	most wicked of them
>$r	insolent
>$rAThA	its indications
>$rk	I associate
>$rknA	we (would) have associated partners (with Allah)
>$rkt	you associate (with Allah)
>$rktm	have associated
>$rktmwn	your association of me (with Allah)
>$rkwA	(are) polytheists
>$tAtA	separately
>$yA'	things
>$yA'hm	in their things
>$yAEkm	your kinds
>&nb}km	Shall I inform you
>'lh	Is there any god
>'lqY	Has been sent
>'nzl	Has been revealed
>*AEwA	they spread
>*Aqhm	He causes them to taste
>*Y	hurt
>*Yhm	their harm
>*bHk	sacrificing you
>*hb	(has) removed
>*hbtm	You exhausted
>*krh	I mention it
>*krkm	I will remember you
>*lp	weak
>*n	An ear
>*nt	you grant leave
>*nyh	his ears
>*qnA	We cause to taste
>*qnh	We let him taste
>DA'	it flashes
>DA't	it illuminated
>DAEwA	who neglected
>DEAfA	manifolds
>DEf	(is) weaker
>DEfA	doubled
>DHk	makes (one) laugh
>DTrh	I will force him
>Dgnhm	their hatred
>Dgnkm	your hatred
>Dgv	Muddled
>Dl	I will err
>DlAnA	misled us
>Dlln	have led astray
>Dlltm	[you] mislead
>DlnA	misguided us
>DlnY	he led me astray
>DlwA	they have led astray
>DlwnA	misled us
>DyE	(let go) waste
>E*bh	I have punished
>ESY	I will disobey
>ESr	pressing
>ETY	gave
>ETwA	they are given
>ETynk	We have given you
>EZk	admonish you
>EZkm	I advise you
>EZm	(are) greater
>Ebd	worship
